Billboard_ID,Location_Name,Borough,Location_Type,Billboard_Type,Width_ft,Height_ft,Monthly_Impressions_Est,Monthly_Rate_INR,cpi_inr,gap_ratio,Permit_Status,Last_Audit_Date,Risk_Score,Risk_Tier,Client_ID,Client_Name,Client_Industry,ML_Anomaly_Flag
MUM-W-001,Bandra-Worli Sea Link,West Suburbs,Highway,Digital,60,30,2500000,850000,0.34,-0.2142857142857142,Active,2024-11-15,0,No Apparent Risk,CL01,Netflix India,Entertainment,1
MUM-C-002,Dadar Station West,Mumbai City,Transit Hub,Static,40,20,1800000,400000,0.2222222222222222,-0.3401360544217687,Active,2025-03-10,0,No Apparent Risk,CL02,Coca-Cola,FMCG,0
MUM-W-003,Juhu Circle,West Suburbs,Commercial Hub,Digital,50,25,1500000,600000,0.4,0.0068027210884353,Active,2025-01-20,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-S-004,Marine Drive,South Mumbai,Arterial Road,Static,30,15,2000000,750000,0.375,-0.0782312925170067,Expired,2022-12-01,4,High Risk,CL04,ICICI Bank,Finance,0
MUM-W-005,Andheri East Station,West Suburbs,Transit Hub,Static,40,20,1750000,380000,0.2171428571428571,-0.336734693877551,Pending,2024-08-22,1,Low Risk,,,,0
MUM-E-006,Powai,400076,East Suburbs,Digital,40,20,1200000,550000,0.4583333333333333,0.0986394557823129,Active,2025-05-18,0,No Apparent Risk,CL05,Lodha Group,Real Estate,0
MUM-W-007,Goregaon Film City Road,West Suburbs,Arterial Road,Static,50,25,900000,250000,0.2777777777777778,-0.064625850340136,Active,2024-07-30,0,No Apparent Risk,CL01,Netflix India,Entertainment,1
MUM-S-008,CST Station,South Mumbai,Transit Hub,Digital,60,30,2200000,800000,0.3636363636363636,-0.1224489795918367,Active,2025-02-11,0,No Apparent Risk,CL06,Myntra,E-commerce,0
MUM-W-009,Bandra Linking Road,West Suburbs,Commercial Hub,Static,30,15,1600000,450000,0.28125,-0.1938775510204081,Active,2024-09-05,0,No Apparent Risk,CL06,Myntra,E-commerce,0
MUM-E-011,Chembur,400071,East Suburbs,Static,40,20,1100000,280000,0.2545454545454545,-0.129251700680272,Active,2022-10-25,1,Low Risk,,,,0
MUM-S-012,Colaba Causeway,South Mumbai,Commercial Hub,Digital,30,15,1300000,500000,0.3846153846153846,0.0,Active,2025-08-01,0,No Apparent Risk,CL08,Starbucks,F&B,0
MUM-W-013,Malad,400064,West Suburbs,Static,50,25,1400000,320000,0.2285714285714285,-0.2312925170068027,Expired,2023-01-15,4,High Risk,CL02,Coca-Cola,FMCG,1
MUM-C-015,Worli Sea Face,Mumbai City,Arterial Road,Static,40,20,1600000,550000,0.34375,-0.0918367346938775,Active,2024-12-10,0,No Apparent Risk,CL04,ICICI Bank,Finance,0
NAV-T-016,Vashi Station Complex,Navi Mumbai,Transit Hub,Digital,50,25,1700000,620000,0.3647058823529411,-0.0680272108843537,Active,2025-06-11,0,No Apparent Risk,,,,0
MUM-E-019,Ghatkopar,400086,East Suburbs,Static,40,20,1300000,300000,0.2307692307692307,-0.2040816326530612,Active,2024-05-14,0,No Apparent Risk,CL10,Amazon Prime,Entertainment,0
MUM-C-020,Sion Circle,Mumbai City,Arterial Road,Static,30,15,1450000,350000,0.2413793103448276,-0.2244897959183673,Pending,,1,Low Risk,,,,0
MUM-W-021,Bandra Kurla Complex (BKC),West Suburbs,Commercial Hub,Digital,60,30,2000000,900000,0.45,0.074829931972789,Active,2024-11-20,0,No Apparent Risk,CL04,ICICI Bank,Finance,1
MUM-C-022,Dadar TT Circle,Mumbai City,Arterial Road,Digital,40,20,1600000,580000,0.3625,-0.0612244897959183,Active,2025-03-03,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-W-024,Mumbai Airport T2,West Suburbs,Transit Hub,Digital,80,40,2400000,1200000,0.5,0.1904761904761904,Active,2025-06-01,0,No Apparent Risk,CL11,Emirates,Travel,1
MUM-C-025,Mahim Causeway,Mumbai City,Arterial Road,Static,40,20,1700000,480000,0.2823529411764706,-0.2108843537414965,Expired,2022-08-10,4,High Risk,,,,0
MUM-W-027,Borivali Station West,West Suburbs,Transit Hub,Static,40,20,1650000,360000,0.2181818181818181,-0.3095238095238095,Active,2024-06-25,0,No Apparent Risk,CL02,Coca-Cola,FMCG,1
MUM-S-028,Nariman Point,South Mumbai,Commercial Hub,Digital,50,25,1800000,780000,0.4333333333333333,0.0476190476190475,Active,2024-10-10,0,No Apparent Risk,CL13,Taj Hotels,Hospitality,1
MUM-W-031,Juhu Beach,West Suburbs,Leisure,Static,40,20,1250000,380000,0.304,-0.0986394557823129,Active,2023-05-20,1,Low Risk,CL08,Starbucks,F&B,0
MUM-S-032,Churchgate Station,South Mumbai,Transit Hub,Digital,40,20,1900000,650000,0.3421052631578947,-0.1326530612244897,Active,2025-04-22,0,No Apparent Risk,CL10,Amazon Prime,Entertainment,0
MUM-C-033,Haji Ali Junction,Mumbai City,Arterial Road,Digital,50,25,2100000,760000,0.3619047619047619,-0.1156462585034013,Active,2025-07-07,0,No Apparent Risk,CL14,Rolex,Luxury Goods,0
MUM-S-036,Peddar Road,South Mumbai,Residential Area,Static,30,15,900000,450000,0.5,0.1394557823129251,Active,2025-02-01,0,No Apparent Risk,CL14,Rolex,Luxury Goods,1
MUM-E-038,Mulund Check Naka,East Suburbs,Highway,Static,70,35,2400000,800000,0.3333333333333333,-0.217687074829932,Active,2025-05-05,0,No Apparent Risk,CL12,MG Hector,Automotive,1
MUM-W-043,Dahisar Check Naka,West Suburbs,Highway,Static,80,40,2700000,920000,0.3407407407407407,-0.238095238095238,Active,2024-12-22,0,No Apparent Risk,CL07,BMW India,Automotive,1
MUM-S-047,Cuffe Parade,South Mumbai,Residential Area,Digital,30,15,950000,550000,0.5789473684210527,0.2176870748299319,Active,2025-04-01,2,Low Risk,CL13,Taj Hotels,Hospitality,1
NAV-C-050,Belapur CBD,Navi Mumbai,Commercial Hub,Digital,60,30,1600000,680000,0.425,0.0408163265306122,Active,2025-08-20,0,No Apparent Risk,CL04,ICICI Bank,Finance,1
MUM-C-051,Bandra-Worli Sea Link Exit,Mumbai City,Highway,Digital,60,30,2450000,840000,0.3428571428571428,-0.2006802721088435,Active,2025-01-12,0,No Apparent Risk,CL07,BMW India,Automotive,1
MUM-W-053,Juhu Tara Road,West Suburbs,Arterial Road,Digital,40,20,1450000,590000,0.4068965517241379,0.020408163265306,Active,2025-08-01,0,No Apparent Risk,CL08,Starbucks,F&B,0
MUM-S-054,Marine Lines,South Mumbai,Residential Area,Static,30,15,1900000,700000,0.3684210526315789,-0.0816326530612244,Active,2025-02-18,0,No Apparent Risk,CL14,Rolex,Luxury Goods,0
MUM-E-056,Powai Lake Promenade,East Suburbs,Leisure,Digital,30,15,1100000,520000,0.4727272727272727,0.1156462585034013,Active,2025-05-25,0,No Apparent Risk,CL09,Zomato,Tech,1
MUM-S-058,CSMT Subway,South Mumbai,Transit Hub,Digital,30,15,2100000,750000,0.3571428571428571,-0.1258503401360543,Active,2025-04-16,0,No Apparent Risk,CL06,Myntra,E-commerce,1
MUM-W-059,Bandra Reclamation,West Suburbs,Residential Area,Static,40,20,1550000,470000,0.3032258064516129,-0.1496598639455782,Active,2024-09-20,0,No Apparent Risk,CL05,Lodha Group,Real Estate,0
MUM-E-061,Chembur Camp,East Suburbs,Residential Area,Static,30,15,1000000,260000,0.26,-0.1020408163265306,Active,2023-02-14,1,Low Risk,,,,1
MUM-S-062,Opera House,South Mumbai,Commercial Hub,Digital,40,20,1400000,600000,0.4285714285714285,0.054421768707483,Active,2025-08-10,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-C-072,Dadar Flower Market,Mumbai City,Commercial Hub,Static,30,15,1700000,380000,0.2235294117647059,-0.3129251700680272,Active,2024-09-12,0,No Apparent Risk,CL16,Cadbury,FMCG,1
MUM-W-073,Andheri Flyover,West Suburbs,Highway,Digital,70,35,2400000,890000,0.3708333333333333,-0.1258503401360544,Active,2025-04-09,0,No Apparent Risk,CL03,Samsung,Electronics,1
MUM-W-074,Mumbai Airport T1,West Suburbs,Transit Hub,Static,60,30,2000000,650000,0.325,-0.1802721088435374,Active,2025-06-05,0,No Apparent Risk,CL11,Emirates,Travel,1
NAV-C-076,Panvel City,Navi Mumbai,Commercial Hub,Static,40,20,1400000,400000,0.2857142857142857,-0.1496598639455782,Active,2025-07-01,0,No Apparent Risk,CL05,Lodha Group,Real Estate,0
MUM-W-079,Kalanagar Flyover,West Suburbs,Highway,Static,50,25,1900000,550000,0.2894736842105263,-0.2346938775510204,Active,2025-02-08,0,No Apparent Risk,CL06,Myntra,E-commerce,1
PAL-T-080,Virar Station,Palghar,Transit Hub,Static,40,20,1450000,350000,0.2413793103448276,-0.2244897959183673,Expired,2022-01-30,4,High Risk,,,,0
MUM-C-083,Haji Ali Dargah Road,Mumbai City,Leisure,Static,30,15,2000000,600000,0.3,-0.2312925170068027,Active,2025-05-11,0,No Apparent Risk,CL16,Cadbury,FMCG,1
MUM-E-084,Kurla Station,East Suburbs,Transit Hub,Digital,50,25,1750000,630000,0.36,-0.0816326530612244,Active,2025-07-10,0,No Apparent Risk,CL03,Samsung,Electronics,0
NAV-A-091,Airoli Circle,Navi Mumbai,Arterial Road,Static,50,25,1350000,450000,0.3333333333333333,-0.0748299319727891,Active,2022-09-01,1,Low Risk,,,,0
MUM-C-092,Byculla Zoo,Mumbai City,Leisure,Static,40,20,1100000,280000,0.2545454545454545,-0.129251700680272,Active,2025-07-28,0,No Apparent Risk,CL16,Cadbury,FMCG,0
MUM-W-094,Khar Subway,West Suburbs,Transit Hub,Static,30,15,1250000,320000,0.256,-0.1598639455782313,Active,2024-04-11,0,No Apparent Risk,CL06,Myntra,E-commerce,0
MUM-W-095,Sakinaka Metro Station,West Suburbs,Transit Hub,Digital,50,25,1800000,670000,0.3722222222222222,-0.064625850340136,Active,2025-07-19,0,No Apparent Risk,CL11,Emirates,Travel,0
MUM-E-098,Bhandup Pumping Station,East Suburbs,Highway,Static,70,35,2100000,700000,0.3333333333333333,-0.1768707482993197,Active,2024-10-01,0,No Apparent Risk,CL12,MG Hector,Automotive,1
MUM-W-099,Kalina University,West Suburbs,Leisure,Static,40,20,1200000,350000,0.2916666666666667,-0.1054421768707482,Active,2025-05-19,0,No Apparent Risk,CL09,Zomato,Tech,0
NAV-T-100,Belapur Station,Navi Mumbai,Transit Hub,Digital,50,25,1550000,600000,0.3870967741935484,-0.0170068027210884,Active,2025-08-12,0,No Apparent Risk,CL04,ICICI Bank,Finance,0
MUM-W-102,Versova Beach,West Suburbs,Leisure,Digital,40,20,1000000,450000,0.45,0.0918367346938775,Active,2024-01-10,0,No Apparent Risk,CL19,Pepsi,FMCG,1
THA-C-105,Thane Station Road,Thane,Commercial Hub,Digital,50,25,1600000,580000,0.3625,-0.0612244897959183,Pending,,1,Low Risk,,,,0
MUM-S-111,Mumbai Central Station,South Mumbai,Transit Hub,Digital,60,30,2100000,780000,0.3714285714285714,-0.0952380952380952,Active,2025-04-02,0,No Apparent Risk,CL18,Air India,Travel,0
MUM-S-115,Breach Candy,South Mumbai,Residential Area,Static,30,15,1100000,550000,0.5,0.1462585034013605,Active,2025-08-16,0,No Apparent Risk,CL14,Rolex,Luxury Goods,1
MUM-C-118,Elphinstone Bridge,Mumbai City,Arterial Road,Static,40,20,1850000,520000,0.2810810810810811,-0.2414965986394558,Active,2025-01-01,0,No Apparent Risk,CL09,Zomato,Tech,0
MUM-W-119,Gorai Beach Road,West Suburbs,Leisure,Static,30,15,700000,220000,0.3142857142857143,0.0,Pending,,1,Low Risk,CL02,Coca-Cola,FMCG,1
MUM-S-122,Kemps Corner,South Mumbai,Commercial Hub,Static,40,20,1600000,600000,0.375,-0.0408163265306122,Active,2025-07-22,0,No Apparent Risk,CL15,Tanishq,Jewellery,0
MUM-W-123,Malad Mindspace,West Suburbs,Commercial Hub,Digital,50,25,1500000,650000,0.4333333333333333,0.0578231292517006,Active,2025-01-18,0,No Apparent Risk,,,,0
MUM-C-124,Worli Dairy,Mumbai City,Arterial Road,Static,40,20,1750000,540000,0.3085714285714285,-0.173469387755102,Active,2025-08-19,0,No Apparent Risk,CL16,Cadbury,FMCG,0
MUM-S-128,Gateway of India,South Mumbai,Leisure,Digital,40,20,1800000,900000,0.5,0.1700680272108843,Active,2024-11-12,0,No Apparent Risk,CL13,Taj Hotels,Hospitality,1
MUM-W-130,Borivali National Park Entrance,West Suburbs,Leisure,Static,40,20,1100000,320000,0.2909090909090909,-0.0884353741496598,Active,2024-02-15,0,No Apparent Risk,CL10,Amazon Prime,Entertainment,0
MUM-C-131,Lalbaug Flyover,Mumbai City,Highway,Digital,50,25,2000000,720000,0.36,-0.108843537414966,Active,2025-08-04,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-S-134,Charni Road Station,South Mumbai,Transit Hub,Static,40,20,1700000,420000,0.2470588235294117,-0.2721088435374149,Active,2025-03-20,0,No Apparent Risk,,,,0
MUM-E-138,Anushakti Nagar,East Suburbs,Residential Area,Static,30,15,850000,260000,0.3058823529411765,-0.0306122448979591,Active,2024-06-01,0,No Apparent Risk,CL17,HDFC Bank,Finance,1
MUM-S-139,Kalbadevi Road,South Mumbai,Commercial Hub,Static,30,15,1500000,390000,0.26,-0.2074829931972789,Pending,,1,Low Risk,,,,0
MUM-W-143,Dahisar River Bridge,West Suburbs,Arterial Road,Static,40,20,1400000,360000,0.2571428571428571,-0.1904761904761904,Active,2024-10-05,0,No Apparent Risk,,,,0
MUM-S-144,Bhuleshwar Market,South Mumbai,Commercial Hub,Static,30,15,1600000,410000,0.25625,-0.2346938775510204,Active,2025-03-11,0,No Apparent Risk,CL02,Coca-Cola,FMCG,0
MUM-C-147,Antop Hill,Mumbai City,Residential Area,Static,30,15,900000,270000,0.3,-0.0442176870748299,Active,2025-01-22,0,No Apparent Risk,,,,1
MUM-S-149,Malabar Hill,South Mumbai,Residential Area,Static,30,15,1200000,600000,0.5,0.1496598639455782,Active,2025-06-02,0,No Apparent Risk,CL14,Rolex,Luxury Goods,1
MUM-W-152,Film City Main Gate,West Suburbs,Leisure,Digital,60,30,1300000,650000,0.5,0.1530612244897959,Active,2024-11-28,0,No Apparent Risk,CL01,Netflix India,Entertainment,1
MUM-S-154,Crawford Market,South Mumbai,Commercial Hub,Static,40,20,1800000,480000,0.2666666666666666,-0.2585034013605442,Active,2025-05-14,0,No Apparent Risk,CL19,Pepsi,FMCG,0
MUM-S-159,Zaveri Bazaar,South Mumbai,Commercial Hub,Static,30,15,1700000,450000,0.2647058823529412,-0.2414965986394557,Active,2025-04-08,0,No Apparent Risk,CL15,Tanishq,Jewellery,0
MUM-S-165,Ballard Estate,South Mumbai,Commercial Hub,Digital,40,20,1300000,600000,0.4615384615384615,0.1020408163265306,Expired,2022-02-05,4,High Risk,CL13,Taj Hotels,Hospitality,0
MUM-S-171,Flora Fountain,South Mumbai,Leisure,Static,40,20,1700000,650000,0.3823529411764705,-0.0374149659863945,Active,2025-08-26,0,No Apparent Risk,CL18,Air India,Travel,0
MUM-C-174,Cotton Green Station,Mumbai City,Transit Hub,Static,30,15,1000000,280000,0.28,-0.0816326530612244,Active,2024-06-22,0,No Apparent Risk,CL02,Coca-Cola,FMCG,0
MUM-W-185,Goregaon Sports Club,West Suburbs,Leisure,Static,30,15,800000,260000,0.325,-0.0068027210884353,Active,2024-06-11,0,No Apparent Risk,CL19,Pepsi,FMCG,1
MUM-C-186,Sion Hospital,Mumbai City,Arterial Road,Static,40,20,1500000,400000,0.2666666666666666,-0.1972789115646258,Active,2025-07-11,0,No Apparent Risk,CL17,HDFC Bank,Finance,0
MUM-S-187,Sandhurst Road Station,South Mumbai,Transit Hub,Digital,40,20,1400000,550000,0.3928571428571428,0.0034013605442176,Pending,,1,Low Risk,,,,0
NAV-I-189,Taloja MIDC,Navi Mumbai,Industrial,Static,50,25,900000,280000,0.3111111111111111,-0.0340136054421768,Active,2024-02-10,0,No Apparent Risk,CL21,Blue Dart,Logistics,1
MUM-E-190,Chembur Naka,East Suburbs,Commercial Hub,Digital,50,25,1600000,600000,0.375,-0.0408163265306122,Active,2025-07-17,0,No Apparent Risk,CL15,Tanishq,Jewellery,0
MUM-C-192,Worli Naka,Mumbai City,Arterial Road,Static,40,20,1800000,560000,0.3111111111111111,-0.1768707482993197,Active,2025-06-04,0,No Apparent Risk,CL16,Cadbury,FMCG,0
MUM-S-193,Bhendi Bazaar,South Mumbai,Commercial Hub,Digital,40,20,1600000,580000,0.3625,-0.0612244897959183,Active,2025-04-12,0,No Apparent Risk,CL02,Coca-Cola,FMCG,0
MUM-E-196,Airoli Station,Navi Mumbai,Transit Hub,Digital,50,25,1300000,530000,0.4076923076923077,0.0306122448979592,Active,2025-08-24,0,No Apparent Risk,CL09,Zomato,Tech,0
MUM-S-199,Hughes Road,South Mumbai,Arterial Road,Digital,40,20,1700000,680000,0.4,-0.0068027210884353,Active,2025-08-07,0,No Apparent Risk,CL14,Rolex,Luxury Goods,0
MUM-W-201,Bandra-Worli Sea Link,West Suburbs,Highway,Static,60,30,2400000,800000,0.3333333333333333,-0.217687074829932,Active,2025-06-10,0,No Apparent Risk,CL01,Netflix India,Entertainment,1
MUM-C-202,Dadar Station West,Mumbai City,Transit Hub,Digital,40,20,1900000,450000,0.2368421052631578,-0.3367346938775509,Active,2025-07-15,0,No Apparent Risk,CL02,Coca-Cola,FMCG,1
MUM-W-203,Juhu Circle,West Suburbs,Commercial Hub,Static,50,25,1400000,550000,0.3928571428571428,0.0034013605442176,Active,2025-02-22,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-S-204,Marine Drive,South Mumbai,Arterial Road,Digital,30,15,2100000,800000,0.3809523809523809,-0.074829931972789,Active,2025-01-08,0,No Apparent Risk,CL04,ICICI Bank,Finance,1
MUM-W-205,Andheri East Station,West Suburbs,Transit Hub,Digital,40,20,1850000,420000,0.227027027027027,-0.3435374149659864,Expired,2022-09-01,4,High Risk,,,,0
MUM-E-206,Powai,400076,East Suburbs,Static,40,20,1100000,500000,0.4545454545454545,0.0952380952380952,Active,2025-04-28,0,No Apparent Risk,CL05,Lodha Group,Real Estate,0
MUM-W-207,Goregaon Film City Road,West Suburbs,Arterial Road,Digital,50,25,1000000,300000,0.3,-0.0612244897959183,Active,2024-08-15,0,No Apparent Risk,CL01,Netflix India,Entertainment,1
MUM-S-208,CST Station,South Mumbai,Transit Hub,Static,60,30,2100000,750000,0.3571428571428571,-0.1258503401360543,Active,2025-03-25,0,No Apparent Risk,CL06,Myntra,E-commerce,0
MUM-W-209,Bandra Linking Road,West Suburbs,Commercial Hub,Digital,30,15,1700000,500000,0.2941176470588235,-0.1904761904761904,Active,2024-10-11,0,No Apparent Risk,CL06,Myntra,E-commerce,0
MUM-E-211,Chembur,400071,East Suburbs,Digital,40,20,1200000,320000,0.2666666666666666,-0.1360544217687074,Pending,,1,Low Risk,,,,0
MUM-S-212,Colaba Causeway,South Mumbai,Commercial Hub,Static,30,15,1200000,450000,0.375,-0.0034013605442176,Active,2025-08-28,0,No Apparent Risk,CL08,Starbucks,F&B,1
MUM-W-213,Malad,400064,West Suburbs,Digital,50,25,1500000,370000,0.2466666666666666,-0.227891156462585,Active,2024-02-01,0,No Apparent Risk,CL02,Coca-Cola,FMCG,1
MUM-C-215,Worli Sea Face,Mumbai City,Arterial Road,Digital,40,20,1700000,600000,0.3529411764705882,-0.0884353741496598,Active,2024-12-18,0,No Apparent Risk,CL04,ICICI Bank,Finance,0
NAV-T-216,Vashi Station Complex,Navi Mumbai,Transit Hub,Static,50,25,1600000,580000,0.3625,-0.0612244897959183,Active,2025-06-25,0,No Apparent Risk,,,,0
MUM-E-219,Ghatkopar,400086,East Suburbs,Digital,40,20,1400000,350000,0.25,-0.2006802721088435,Active,2024-05-28,0,No Apparent Risk,CL10,Amazon Prime,Entertainment,0
MUM-C-220,Sion Circle,Mumbai City,Arterial Road,Digital,30,15,1550000,400000,0.2580645161290322,-0.2210884353741496,Active,2025-04-01,0,No Apparent Risk,,,,0
MUM-W-221,Bandra Kurla Complex (BKC),West Suburbs,Commercial Hub,Static,60,30,1900000,850000,0.4473684210526316,0.0714285714285715,Expired,2022-11-28,4,High Risk,CL04,ICICI Bank,Finance,1
MUM-C-222,Dadar TT Circle,Mumbai City,Arterial Road,Static,40,20,1500000,520000,0.3466666666666667,-0.074829931972789,Active,2025-03-18,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-W-224,Mumbai Airport T2,West Suburbs,Transit Hub,Static,80,40,2300000,1100000,0.4782608695652174,0.1360544217687075,Active,2025-06-15,0,No Apparent Risk,CL11,Emirates,Travel,1
